subject,predicate,object
Biomedical equipment,RT,Sensory aids
Biomedical equipment,RT,Speech synthesis
Biomedical equipment,RT,Surgery
Biomedical equipment,RT,Zigbee
Biomedical equipment,NT,Assistive technologies
Biomedical equipment,NT,Biomedical electrodes
Biomedical equipment,NT,Biomedical telemetry
Biomedical equipment,NT,Biomedical transducers
Biomedical equipment,NT,Catheters
Biomedical equipment,NT,Endoscopes
Biomedical equipment,NT,Gerontechnology
Biomedical equipment,NT,Hypodermic needles
Biomedical equipment,NT,Implants
Biomedical equipment,NT,Intracranial pressure sensors
Biomedical equipment,NT,Lithotriptors
Biomedical equipment,NT,Medical devices
Biomedical equipment,NT,Medical instruments
Biomedical equipment,NT,Pacemakers
Biomedical equipment,NT,Pulse oximeter
Biomedical equipment,NT,Stethoscope
Biomedical equipment,NT,Surgical instruments
Biomedical equipment,NT,Ventilators
Biomedical image processing,UF,Medical image processing
Biomedical image processing,BT,Biomedical signal processing
Biomedical image processing,RT,Biomedical imaging
Biomedical image processing,RT,Biomedical optical imaging
Biomedical image processing,RT,Functional magnetic resonance imaging
Biomedical image processing,RT,Magnetoencephalography
Biomedical image processing,RT,Medical robotics
Biomedical image processing,RT,Subtraction techniques
Biomedical image processing,NT,Imaging phantoms
Biomedical image processing,NT,Motion artifacts
Biomedical image processing,NT,Neuroimaging
Biomedical image processing,NT,Radiographic image enhancement
Biomedical image processing,NT,Radiology
Biomedical image processing,NT,Radiomics
Biomedical image processing,NT,Ultrasonography
Biomedical image processing,NT,Whole body imaging
Biomedical imaging,UF,Bioimaging
Biomedical imaging,UF,Biological imaging
Biomedical imaging,UF,Biomedical X-ray imaging
Biomedical imaging,UF,Medical imaging
Biomedical imaging,UF,Tomosynthesis
Biomedical imaging,BT,Engineering in medicine and biology
Biomedical imaging,BT,Imaging
Biomedical imaging,RT,Biomedical applications of radiation
Biomedical imaging,RT,Biomedical image processing
Biomedical imaging,RT,Data visualization
Biomedical imaging,RT,Isosurfaces
Biomedical imaging,RT,Medical diagnosis
Biomedical imaging,RT,Molecular biophysics
Biomedical imaging,RT,Nanobiophotonics
Biomedical imaging,RT,Picture archiving and communication systems
Biomedical imaging,RT,Radiation imaging
Biomedical imaging,RT,Tomography
Biomedical imaging,RT,Ultrasonic imaging
Biomedical imaging,NT,Angiocardiography
Biomedical imaging,NT,Angiography
Biomedical imaging,NT,Biomedical optical imaging
Biomedical imaging,NT,Cardiography
Biomedical imaging,NT,DICOM
Biomedical imaging,NT,Elastography
Biomedical imaging,NT,Encephalography
Biomedical imaging,NT,Mammography
Biomedical imaging,NT,Medical diagnostic imaging
Biomedical imaging,NT,Molecular imaging
Biomedical imaging,NT,Phantoms
Biomedical imaging,NT,Photoacoustic imaging
Biomedical informatics,USE,Bioinformatics
Biomedical infrared imaging,USE,Biomedical optical imaging
Biomedical instruments,USE,Biomedical measurement
Biomedical materials,BT,Materials
Biomedical materials,RT,Biological materials
Biomedical materials,RT,Diamond-like carbon
Biomedical materials,RT,Molecular biophysics
Biomedical materials,NT,Bioceramics
Biomedical materials,NT,Biomembranes
Biomedical measurement,UF,Biomedical instruments
Biomedical measurement,UF,Biomedical measurements
Biomedical measurement,BT,Measurement
Biomedical measurement,RT,Anthropometry
Biomedical measurement,RT,Biomedical electrodes
Biomedical measurement,RT,Biomedical equipment
Biomedical measurement,RT,Biosensors
Biomedical measurement,RT,Pulse oximetry
Biomedical measurement,NT,Biomarkers
Biomedical measurement,NT,Biomedical monitoring
Biomedical measurement,NT,Electroencephalography
Biomedical measurement,NT,Electromyography
Biomedical measurement,NT,Electrooculography
Biomedical measurement,NT,Electrophysiology
Biomedical measurement,NT,Photoplethysmography
Biomedical measurement,NT,Plethysmography
Biomedical measurement,NT,Pulse oximeter
Biomedical measurement,NT,Sensitivity and specificity
Biomedical measurements,USE,Biomedical measurement
Biomedical microelectromechanical systems,UF,Bio-MEMs
Biomedical microelectromechanical systems,BT,Micromechanical devices
Biomedical microelectromechanical systems,RT,Biomedical equipment
Biomedical monitoring,BT,Biomedical measurement
Biomedical monitoring,RT,Biomedical engineering
Biomedical monitoring,RT,Epidemiology
Biomedical monitoring,RT,Internet of Medical Things
Biomedical monitoring,RT,Phonocardiography
Biomedical monitoring,NT,Nanomedicine
Biomedical MRI,USE,Magnetic resonance imaging
Biomedical optical imaging,UF,Biomedical infrared imaging
Biomedical optical imaging,BT,Biomedical imaging
Biomedical optical imaging,RT,Biomedical engineering
Biomedical optical imaging,RT,Biomedical image processing
Biomedical optical imaging,RT,Endomicroscopy
Biomedical optical imaging,RT,Endoscopes
Biomedical optical imaging,RT,Infrared imaging
Biomedical optical imaging,RT,Optical communication equipment
Biomedical optical imaging,RT,Optical devices
Biomedical signal processing,BT,Biomedical engineering
Biomedical signal processing,RT,Biomedical computing
Biomedical signal processing,RT,Fall detection
Biomedical signal processing,RT,Neurophysiology
Biomedical signal processing,RT,Time-frequency analysis
Biomedical signal processing,NT,Biomedical image processing
Biomedical telemetry,UF,Biotelemetry
Biomedical telemetry,BT,Biomedical communication
Biomedical telemetry,BT,Biomedical equipment
Biomedical telemetry,BT,Telemetry
Biomedical transducers,BT,Biomedical equipment
Biomedical transducers,BT,Transducers
Biomedical ultrasonics,USE,Biomedical acoustics
Biomedical X-ray imaging,USE,Biomedical imaging
Biomembranes,UF,Biological membranes
Biomembranes,UF,Membranes
Biomembranes,BT,Biomedical materials
Biomembranes,RT,Biological cells
Biometric systems,USE,Biometrics (access control)
Biometrics (access control),UF,Biometric systems
Biometrics (access control),BT,Identification of persons
Biometrics (access control),RT,Access control
Biometrics (access control),RT,Algorithms
Biometrics (access control),RT,Automation
Biometrics (access control),RT,Handwriting recognition
Biometrics (access control),RT,Information technology
Biometrics (access control),RT,Security
Biometrics (access control),RT,Speaker recognition
Biometrics (access control),NT,Face recognition
Biometrics (access control),NT,Fingerprint recognition
Biometrics (access control),NT,Gait recognition
Biometrics (access control),NT,Iris recognition
Biometrics (access control),NT,Keystroke dynamics
Biometrics (access control),NT,Palmprint recognition
Biomimetic materials,BT,Biomimetics
Biomimetic materials,BT,Smart materials
Biomimetic microelectronics,USE,Biomimetics
Biomimetics,UF,Biomimetic microelectronics
Biomimetics,UF,Biomimicry
Biomimetics,UF,Bionics
Biomimetics,BT,Microprocessors
Biomimetics,RT,Bio-inspired engineering
Biomimetics,RT,Whale optimization algorithms
Biomimetics,NT,Biomimetic materials
Biomimicry,USE,Biomimetics
Biomolecular electronics,USE,Molecular electronics
Biomolecules,USE,Molecular biophysics
Bionanotechnology,UF,Bio-nanotechnology
Bionanotechnology,BT,Engineering in medicine and biology
Bionanotechnology,BT,Nanotechnology
Bionics,USE,Biomimetics
Biophotonics,BT,Biology
Biophotonics,BT,Photonics
Biophysics,BT,Biology
Biophysics,BT,Physics
Biophysics,RT,Computational biophysics
Biophysics,NT,Aerospace biophysics
Biophysics,NT,Biomagnetics
Biophysics,NT,Cellular biophysics
Biophysics,NT,Molecular biophysics
Biopolymers,BT,Polymers
Biopsy,BT,Medical tests
Bioreactors,BT,Chemical reactions
Bioreactors,RT,Biochemistry
Biorthogonal modulation,BT,Wavelet transforms
Biosensors,UF,Biological sensors
Biosensors,BT,Chemical and biological sensors
Biosensors,RT,Biomedical measurement
Biosensors,RT,Nanobiophotonics
Biosensors,RT,Wearable sensors
Biosphere,BT,Environmental factors
Biosphere,BT,Geoscience
Biotechnology,BT,Biomedical engineering
Biotechnology,RT,Genetic engineering
Biotelemetry,USE,Biomedical telemetry
Bioterrorism,BT,Engineering in medicine and biology
Bioterrorism,BT,Terrorism
Bipartite graph,BT,Graph theory
Biped locomotion,USE,Legged locomotion
Bipolar integrated circuits,BT,Bipolar transistor circuits
Bipolar integrated circuits,RT,Bipolar transistors
Bipolar transistor circuits,BT,Circuits
Bipolar transistor circuits,RT,Parameter extraction
Bipolar transistor circuits,NT,BiCMOS integrated circuits
Bipolar transistor circuits,NT,Bipolar integrated circuits
Bipolar transistors,BT,Power semiconductor switches
Bipolar transistors,RT,Bipolar integrated circuits
Bipolar transistors,RT,Proton radiation effects
Bipolar transistors,RT,Semiconductor epitaxial layers
Bipolar transistors,RT,Transistors
Bipolar transistors,NT,Insulated gate bipolar transistors
Bipolar transistors,NT,Kirk field collapse effect
Birds,BT,Animals
Birds,RT,Beak
Birefringence,BT,Optics
Birefringence,RT,Photorefractive effect
Birefringence,RT,Photorefractive materials
Birefringence,RT,Refractive index
Birefringence,RT,Thermooptic effects
Birth disorders,BT,Amniocentesis
Bismuth,UF,Bi
Bismuth,BT,Metals
Bismuth,RT,Bismuth compounds
Bismuth compounds,UF,BSCCO
Bismuth compounds,BT,Compounds
Bismuth compounds,RT,Alloying
Bismuth compounds,RT,Bismuth
BIST,USE,Built-in self-test
Bistability (optical),USE,Optical bistability
Bistable circuits,UF,Bi-stable circuits
Bistable circuits,BT,Circuits
Bistable circuits,NT,Latches
Bistable multivibrator,USE,Pulse circuits
Bistatic radar,BT,Radar
Bit allocation,USE,Bit rate
Bit error rate,UF,BER
Bit error rate,UF,BER analysis
Bit error rate,UF,BER performance
Bit error rate,UF,BERT
Bit error rate,UF,Bit error rate test
Bit error rate,BT,Error analysis
Bit error rate test,USE,Bit error rate
Bit interleaved coded,USE,Interleaved codes
Bit rate,UF,Bit allocation
Bit rate,UF,Bitrate
Bit rate,BT,Timing
Bit rate,RT,Communication system signaling
Bit rate,RT,Computer networks
Bit rate,RT,Signal processing
Bit-interleaved coded,USE,Interleaved codes
Bitcoin,BT,Cryptocurrency
Bitcoin,RT,Blockchains
Bitcoin,RT,Cryptography
Bitcoin,RT,Finance
Bitcoin,RT,Nonfungible tokens
Bitcoin,RT,Online banking
Bitrate,USE,Bit rate
Bitumen,USE,Asphalt
Bixby,USE,Virtual assistants
Blackberry,USE,Personal digital devices
Bladder,BT,Urogenital system
Blades,UF,Vanes
Blades,BT,Mechanical products
Blades,RT,Agricultural machinery
Blades,RT,Cutting tools
Blades,RT,Fans
Blades,RT,Impellers
Blades,RT,Propellers
Blades,RT,Turbomachinery
Blanking,BT,Manufacturing systems
Blanking,RT,Metal products
Blanking,RT,Metals
Blanking,RT,Sheet metal processing
Blast furnaces,BT,Furnaces
Blast furnaces,RT,Smelting
Bleaching,BT,Materials processing
Bleaching,RT,Manufacturing systems
Bleaching,RT,Paper making
Bleaching,RT,Process control
Bleaching,RT,Textile technology
Bleeding,USE,Hemorrhaging
Blended learning,USE,Hybrid learning
Blind channel estimation,USE,Blind equalizers
Blind equalisers,USE,Blind equalizers
Blind equalizers,UF,Blind channel estimation
Blind equalizers,UF,Blind equalisers
Blind equalizers,UF,Source signal equalizers
Blind equalizers,BT,Equalizers
Blind signal separation,USE,Blind source separation
Blind source separation,UF,Blind signal separation
Blind source separation,UF,Mixed source separation
Blind source separation,BT,Source separation
Blind source separation,RT,Adaptive signal detection
Blind source separation,RT,Array signal processing
Blind source separation,RT,Independent component analysis
Blind source separation,RT,Signal analysis
Blind source separation,RT,Signal detection
Blindness,BT,Medical conditions
Blindness,RT,Braille
Blindness,RT,Visual impairment
Blindness,RT,Visual prosthesis
Blob detection,BT,Computer vision
Blob detection,BT,Image processing
Blob detection,RT,Feature extraction
Block chain,USE,Blockchains
Block codes,UF,Block coding
Block codes,BT,Channel coding
Block codes,RT,Mobile communication
Block codes,NT,Linear codes
Block codes,NT,Polar codes
Block coding,USE,Block codes
Block listing,USE,Blocklists
Block lists,USE,Blocklists
Block signaling,USE,Block signalling
Block signalling,UF,Block signaling
Block signalling,UF,Signaling block systems
Block signalling,UF,Signalling block systems
Block signalling,BT,Control systems
Block signalling,BT,Railway communication
Block signalling,RT,Collision avoidance
Block signalling,RT,Rail transportation
Blockchains,UF,Block chain
Blockchains,UF,Chain codes
Blockchains,UF,Permissioned blackchains
Blockchains,UF,Private blockchains
Blockchains,UF,Public blockchains
Blockchains,BT,Cryptography
Blockchains,BT,Distributed databases
Blockchains,RT,Authentication
Blockchains,RT,Bitcoin
Blockchains,RT,Computer security
Blockchains,RT,Content management
Blockchains,RT,Cryptocurrency
Blockchains,RT,Data collection
Blockchains,RT,Decentralized autonomous organization
Blockchains,RT,Directed acyclic graph
Blockchains,RT,Distributed ledger
Blockchains,RT,Federated identity
Blockchains,RT,Metaverse
Blockchains,RT,Proof of Work
Blockchains,NT,Consensus protocol
Blockchains,NT,Nonfungible tokens
Blocklists,UF,Block listing
Blocklists,UF,Block lists
Blocklists,UF,Deny lists
Blocklists,BT,Access control
Blocklists,BT,Information filters
Blogging,USE,Blogs
Blogs,UF,Blogging
Blogs,UF,Weibo
Blogs,BT,Information retrieval
Blogs,RT,Electronic mail
Blogs,RT,Internet
Blogs,RT,Social networking (online)
Blood,BT,Blood vessels
Blood,NT,Blood platelets
Blood,NT,Coagulation
Blood,NT,Red blood cells
Blood,NT,White blood cells
Blood clots,USE,Coagulation
Blood flow,BT,Blood pressure
Blood flow,RT,Bioimpedance
Blood flow,RT,Hemorrhaging
Blood flow,NT,Hemodynamics
Blood platelets,BT,Blood
Blood platelets,RT,Coagulation
Blood pressure,UF,Arterial pressure
Blood pressure,BT,Blood vessels
Blood pressure,NT,Blood flow
Blood pressure,NT,Blood pressure measurement
Blood pressure,NT,Blood pressure variability
Blood pressure measurement,BT,Blood pressure
Blood pressure variability,BT,Blood pressure
Blood vessels,BT,Cardiovascular system
Blood vessels,RT,Endothelial cells
Blood vessels,NT,Arteries
Blood vessels,NT,Blood
Blood vessels,NT,Blood pressure
Blood vessels,NT,Veins
Bluetooth,BT,Personal area networks
Bluetooth,BT,Radio communication
Bluetooth,RT,Cellular radio
Bluetooth,RT,Communication equipment
Bluetooth,RT,Digital communication
Bluetooth,RT,IEEE 802.11 Standard
Bluetooth,RT,IEEE 802.11g Standard
Bluetooth,RT,IEEE 802.11n Standard
Bluetooth,RT,IEEE 802.15 Standard
Bluetooth,RT,Land mobile radio
Bluetooth,RT,Protocols
Bluetooth,RT,Spread spectrum communication
Bluetooth,RT,Wireless LAN
Bluetooth,RT,Wireless communication
Bluetooth,RT,Zigbee
BNCT,USE,Neutron capture therapy
BNSC,UF,British National Space Centre
BNSC,BT,Organizations
Boat building industry,USE,Shipbuilding industry
Boats,UF,Barges
Boats,UF,Yachts
Boats,BT,Marine vehicles
Boats,RT,Marine robots
Body area networking,USE,Body area networks
Body area networks,UF,Body area networking
Body area networks,BT,Personal area networks
Body borne computers,USE,Wearable computers
Body regions,BT,Anatomy
Body regions,NT,Abdomen
Body regions,NT,Back
Body regions,NT,Breast
Body regions,NT,Extremities
Body regions,NT,Head
Body regions,NT,Neck
Body regions,NT,Pelvis
Body regions,NT,Perineum
Body regions,NT,Thorax
Body regions,NT,Torso
Body regions,NT,Viscera
Body sensor networks,BT,Personal area networks
Body sensor networks,BT,Wireless sensor networks
Body sensor networks,RT,Fall detection
Body sensor networks,RT,Wearable sensors
Boilers,BT,Heating systems
Boilers,RT,Heat recovery
Boilers,RT,Steam engines
Boilers,RT,Turbines
Boilers,RT,Waste heat
Bolometers,BT,Radiation detectors
Bolometers,RT,Infrared detectors
Bolometers,RT,Temperature measurement
Bolts,USE,Fasteners
Boltzmann distribution,BT,Statistics
Boltzmann distribution,NT,Lattice Boltzmann methods
Boltzmann equation,UF,Boltzmann transport equation
Boltzmann equation,BT,Equations
Boltzmann transport equation,USE,Boltzmann equation
Bomb,USE,Weapons
Bonding,BT,Bonding processes
Bonding,RT,Manufacturing
Bonding,RT,Materials processing
Bonding,NT,Adhesives
Bonding forces,BT,Materials testing
Bonding processes,BT,Fabrication
Bonding processes,BT,Joining processes
Bonding processes,RT,Soldering
Bonding processes,RT,Welding
Bonding processes,NT,Bonding
Bonding processes,NT,Diffusion bonding
Bonding processes,NT,Wafer bonding
Bone density,UF,Bone mineral density
Bone density,BT,Bones
Bone density,RT,Density measurement
Bone diseases,BT,Diseases
Bone diseases,NT,Osteoarthritis
Bone diseases,NT,Osteoporosis
Bone mineral density,USE,Bone density
Bone tissue,BT,Biological tissues
Bone tissue,RT,Bones
Bone tissue,NT,Cancellous bone
Bone tissue,NT,Cortical bone
Bones,BT,Skeleton
Bones,RT,Bone tissue
Bones,RT,Skull
Bones,NT,Bone density
Bones,NT,Pelvic bones
Bonuses,USE,Incentive schemes
Book reviews,BT,IEEE indexing
Boolean algebra,BT,Algebra
Boolean algebra,RT,Logic
Boolean algebra,RT,Logic gates
Boolean algebra,RT,Set theory
Boolean algebra,NT,Boolean functions
Boolean functions,BT,Boolean algebra
Boolean functions,RT,Fault trees
Boolean functions,NT,Logic functions
Boosting,BT,Machine learning
Boosting,BT,Supervised learning
Booting,BT,Operating systems
Boring,BT,Machining
Boring,RT,Drilling
Boring,RT,Milling
Boring,RT,Turning
Boron,BT,Chemical elements
Boron,BT,Metals
Boron,RT,Fertilizers
Boron,NT,Boron alloys
Boron alloys,BT,Boron
Boron alloys,RT,Magnetic materials
Boron neutron capture therapy,USE,Neutron capture therapy
Bot (Internet),UF,WWW robot
Bot (Internet),UF,Web robot
Bot (Internet),BT,Computer applications
Bot (Internet),BT,Internet
Bot (Internet),BT,World Wide Web
Bot (Internet),RT,Crawlers
Botany,BT,Biology
Botany,RT,Seeds (agriculture)
Botnet,BT,Interconnected systems
Botnet,BT,Internet
Botnet,BT,Software agents
Botnet,RT,Computer crime
Botnet,RT,Distributed denial-of-service attack
Botnet,RT,Robots
Bottling,BT,Packaging
Bottling,RT,Beverage industry
Bottling,RT,Glass products
Bottling,RT,Packaging machines
Bottling,RT,Plastic products
Boundary conditions,BT,Boundary value problems
Boundary conditions,NT,Upper bound
Boundary element methods,USE,Boundary-element methods
Boundary value problems,BT,Mathematics
Boundary value problems,RT,Partial differential equations
Boundary value problems,NT,Boundary conditions
Boundary-element methods,UF,Boundary element methods
Boundary-element methods,BT,Partial differential equations
Boundary-element methods,RT,Integral equations
Boundary-element methods,RT,Method of moments
Bovine,BT,Animals
Bovine,NT,Cows
Box Jenkins models,USE,Autoregressive processes
BPEL,USE,Business Process Execution Language
BPF,USE,Band-pass filters
BPR,USE,Business process re-engineering
BPSK,USE,Binary phase shift keying
Brachial,USE,Brachytherapy
Brachytherapy,UF,Brachial
Brachytherapy,BT,Medical treatment
Brachytherapy,RT,Radiation effects
Bragg gratings,UF,Fiber Bragg gratings
Bragg gratings,UF,Fiber-Bragg gratings
Bragg gratings,BT,Filters
Bragg gratings,BT,Optical devices
Bragg gratings,RT,Diffraction
Bragg gratings,RT,Diffraction gratings
Bragg gratings,RT,Laser beams
Bragg gratings,RT,Optical beams
Bragg gratings,RT,Optical transmitters
Bragg gratings,RT,Temperature sensors
Bragg gratings,RT,Wavelength division multiplexing
Bragg gratings,NT,Fiber gratings
Braille,BT,Writing
Braille,RT,Assistive technologies
Braille,RT,Blindness
Braille,RT,Haptic interfaces
Braille,RT,Tactile sensors
Brain,BT,Nervous system
Brain,RT,Bioelectric phenomena
Brain,RT,Cerebrospinal fluid
Brain,RT,Cognition
Brain,RT,Cognitive informatics
Brain,RT,Cognitive science
Brain,RT,Diffusion tensor imaging
Brain,RT,Electroencephalography
Brain,RT,Encephalography
Brain,RT,Head
Brain,RT,Intracranial pressure sensors
Brain,RT,Magnetoencephalography
Brain,RT,Soma
Brain,RT,Synapses
Brain,RT,White matter
Brain,NT,Amygdala
Brain,NT,Basal ganglia
Brain,NT,Brain cells
Brain,NT,Brain injuries
Brain,NT,Brain modeling
Brain,NT,Brain ventricles
Brain,NT,Brainstem
Brain,NT,Cerebellum
Brain,NT,Cerebral cortex
Brain,NT,Cerebrum
Brain,NT,Corpus callosum
Brain,NT,Forebrain
Brain,NT,Frontal lobe
Brain,NT,Hindbrain
Brain,NT,Hypothalamus
Brain,NT,Limbic system
Brain,NT,Midbrain
Brain,NT,Neural activity
Brain,NT,Neural implants
Brain,NT,Neurodynamics
Brain,NT,Neurophysiology
Brain,NT,Neuroprostheses
Brain,NT,Neuropsychology
Brain,NT,Neurotechnology
Brain,NT,Occipital Lobe
Brain,NT,Parietal lobe
Brain,NT,Primary motor cortex
Brain,NT,Sleep
Brain,NT,Temporal lobe
Brain,NT,Thalamus
Brain,NT,Ventricle system
Brain,NT,Virtual artifact
Brain cells,BT,Brain
Brain computer interfaces,USE,Brain-computer interfaces
Brain imaging,USE,Neuroimaging
Brain implants,USE,Neural implants
Brain injuries,BT,Brain
Brain injuries,BT,Injuries
Brain interfaces,USE,Brain-computer interfaces
Brain machine interfaces,USE,Brain-computer interfaces
Brain mapping,BT,Nervous system
Brain mapping,NT,Neuroimaging
Brain modeling,UF,Brain modelling
Brain modeling,BT,Brain
Brain modeling,BT,Modeling
Brain modelling,USE,Brain modeling
Brain plasticity,USE,Neuroplasticity
Brain stem,USE,Brainstem
Brain stem implants,USE,Brainstem implants
Brain stimulation,BT,Medical treatment
Brain stimulation,NT,Deep brain stimulation
Brain ventricles,BT,Brain
Brain-computer interaction,USE,Brain-computer interfaces
Brain-computer interfaces,UF,BCI
Brain-computer interfaces,UF,Brain computer interfaces
Brain-computer interfaces,UF,Brain interfaces
Brain-computer interfaces,UF,Brain machine interfaces
Brain-computer interfaces,UF,Brain-computer interaction
Brain-computer interfaces,UF,Brain-computer-interfaces
Brain-computer interfaces,UF,Brain-machine interfaces
Brain-computer interfaces,UF,Mind-machine interfaces
Brain-computer interfaces,BT,User interfaces
Brain-computer interfaces,RT,Neural engineering
Brain-computer-interfaces,USE,Brain-computer interfaces
Brain-machine interfaces,USE,Brain-computer interfaces
BrainLobe,USE,Frontal lobe
Brainstem,UF,Brain stem
Brainstem,BT,Brain
Brainstem implants,UF,Brain stem implants
Brainstem implants,BT,Implants
Brakes,BT,Control systems
Brakes,BT,Mechanical products
Brakes,RT,Automotive components
Brand management,UF,Branding
Brand management,BT,Marketing management
Brand management,RT,Market research
Brand management,RT,Product development
Branding,USE,Brand management
Brazing,BT,Soldering
Brazing,RT,Welding
Breadboard,UF,Plugboard
Breadboard,UF,Solderless breadboard
Breadboard,BT,Electronic circuits
Breadboard,BT,Prototypes
Breakdown,USE,Electric breakdown
Breakdown voltage,BT,Voltage
Breakdown voltage,RT,Current
Breakdown voltage,RT,Diodes
Breakdown voltage,RT,Insulators
Breast,BT,Body regions
Breast,NT,Breast biopsy
Breast,NT,Breast cancer
Breast,NT,Breast tissue
Breast,NT,Breast tumors
Breast biopsy,BT,Breast
Breast cancer,UF,Breast-cancer
Breast cancer,BT,Breast
Breast cancer,BT,Cancer
Breast neoplasms,UF,Mammary neoplasms
Breast neoplasms,BT,Neoplasms
Breast tissue,UF,Breast tissues
Breast tissue,BT,Biological tissues
Breast tissue,BT,Breast
Breast tissues,USE,Breast tissue
Breast tumor,USE,Breast tumors
Breast tumors,UF,Breast tumor
Breast tumors,UF,Breast tumour
Breast tumors,UF,Breast tumours
Breast tumors,BT,Breast
Breast tumors,BT,Tumors
Breast tumour,USE,Breast tumors
Breast tumours,USE,Breast tumors
Breast-cancer,USE,Breast cancer
Bremsstrahlung,BT,Electromagnetic radiation
Bridge circuits,BT,Circuits
Bridge circuits,RT,Rectifiers
Bridges,BT,Structural shapes
Bridges,RT,Civil engineering
Bridges,RT,Structural engineering
Bridges,RT,Transportation
Brightness,BT,Optics
Brightness,NT,Brightness temperature
Brightness temperature,BT,Brightness
Brillouin scattering,BT,Scattering
Bring your own device,UF,BYOD
Bring your own device,BT,Information technology
Bring your own device,RT,Mobile computing
Bring your own device,RT,Office automation
Bring your own device,RT,Personnel
Bring your own device,RT,Security
Bring your own device,RT,Smart phones
British National Space Centre,USE,BNSC
Broadband amplifiers,UF,Wideband amplifiers
Broadband amplifiers,BT,Amplifiers
Broadband amplifiers,BT,Broadband communication
Broadband antennas,UF,Wideband antennas
Broadband antennas,BT,Antennas
Broadband antennas,RT,Antenna arrays
Broadband antennas,RT,Microstrip
Broadband antennas,RT,Microwave propagation
Broadband antennas,RT,UHF propagation
Broadband antennas,NT,Ultra wideband antennas
Broadband antennas,NT,Vivaldi antennas
Broadband communication,UF,Broadband networks
Broadband communication,BT,Communication systems
Broadband communication,RT,Asynchronous transfer mode
Broadband communication,RT,Cable TV
Broadband communication,RT,Frequency division multiaccess
Broadband communication,RT,IEEE 802.16 Standard
Broadband communication,RT,IPTV
Broadband communication,RT,Multimedia communication
Broadband communication,RT,Optical fiber communication
Broadband communication,RT,Ultra wideband communication
Broadband communication,RT,Video on demand
Broadband communication,NT,B-ISDN
Broadband communication,NT,Broadband amplifiers
Broadband ISDN,USE,B-ISDN
Broadband networks,USE,Broadband communication
Broadcast technology,NT,Broadcasting
Broadcasting,UF,Broadcasts
Broadcasting,BT,Broadcast technology
Broadcasting,RT,Entertainment industry
Broadcasting,RT,Journalism
Broadcasting,NT,Digital audio broadcasting
Broadcasting,NT,Digital multimedia broadcasting
Broadcasting,NT,Digital video broadcasting
Broadcasting,NT,Motion pictures
Broadcasting,NT,NVIS
Broadcasting,NT,Radio broadcasting
Broadcasting,NT,Satellite broadcasting
Broadcasting,NT,Web TV
Broadcasts,USE,Broadcasting
Bromine,BT,Chemical elements
Bromine,NT,Bromine compounds
Bromine compounds,UF,Organobromine compounds
Bromine compounds,BT,Bromine
Bromine compounds,BT,Chemical compounds
Bromine compounds,RT,Flame retardants
Bronchi,USE,Respiratory system
Bronchoscopy,BT,Medical diagnosis
Brownian motion,UF,Fractional brownian motion
Brownian motion,BT,Random processes
Brownian motion,RT,Diffusion processes
Browsers,UF,Google Chrome
Browsers,UF,Web browsers
Browsers,BT,Computer interfaces
Browsers,RT,User interfaces
Brushes,BT,Contacts
Brushes,RT,Rotating machines
Brushless DC motors,UF,Brushless direct current motors
Brushless DC motors,BT,Brushless motors
Brushless DC motors,BT,DC motors
Brushless direct current motors,USE,Brushless DC motors
Brushless machines,BT,Electric machines
Brushless motors,BT,Motors
Brushless motors,RT,Switched reluctance motors
Brushless motors,NT,Brushless DC motors
BSCCO,USE,Bismuth compounds
Buck converters,BT,DC-DC power converters
Buckeyballs,USE,Fullerenes
Buckminsterfullerene,USE,Fullerenes
Buckyballs,USE,Fullerenes
Buckytubes,USE,Fullerenes
Buffer layers,BT,Thin films
Buffer layers,RT,Diffusion processes
Buffer layers,RT,Semiconductor films
Buffer layers,RT,Semiconductor growth
Buffer overflows,BT,Computer crashes
Buffer storage,UF,Data storage systems
Buffer storage,BT,Data systems
Buffer storage,RT,Big Data
Buffer storage,RT,In-memory computing
Buffer storage,RT,Random access memory
Buffer storage,RT,Storage area networks
Buffer storage,NT,Triples (Data structure)
Bugs,USE,Computer bugs
Building automation,BT,Automation
Building automation,BT,Building services
Building automation,RT,Construction industry
Building information management,UF,BIM
Building information management,UF,Building information modelling
Building information management,BT,Buildings
Building information management,BT,Modeling
Building information management,RT,Architecture
Building information management,RT,Building management systems
Building information management,RT,Building services
Building information management,RT,Design engineering
Building information management,RT,Facilities management
Building information management,RT,Project management
Building information management,RT,Structural engineering
Building information modelling,USE,Building information management
Building integrated photovoltaics,UF,Building-integrated photovoltaics
Building integrated photovoltaics,UF,Roof mounted photovoltaics
Building integrated photovoltaics,UF,Roof mounted solar cell arrays
Building integrated photovoltaics,BT,Photovoltaic systems
Building integrated photovoltaics,RT,Building services
Building integrated photovoltaics,RT,Solar power generation
Building management systems,BT,Buildings
Building management systems,BT,Management
Building management systems,RT,Building information management
Building materials,BT,Buildings
Building materials,BT,Materials
Building materials,RT,Aggregates
Building materials,RT,Construction
Building materials,RT,Construction industry
Building materials,RT,Prefabricated construction
Building materials,RT,Structural beams
Building materials,NT,Asphalt
Building materials,NT,Concrete
Building materials,NT,Floors
Building materials,NT,Mortar
Building materials,NT,Tiles
Building materials,NT,Windows
Building services,BT,Buildings
Building services,RT,Access control
Building services,RT,Air conditioning
Building services,RT,Building information management
